id|iaru_region_id|name|country_territory
113|2|Radio Club de Chile [RCCH]|CHILE
114|2|Liga Colombiana de Radioaficionados [LCRA]|COLOMBIA
115|2|Radio Club de Costa Rica [RCCR]|COSTA RICA
116|2|Federacion de Radioaficionados de Cuba [FRC]|CUBA
117|2|Dominica Amateur Radio Club Inc. [DARCI]|DOMINICA
118|2|Radio Club Dominicano, Inc. [RCD]|DOMINICAN REPUBLIC
119|2|Guayaquil Radio Club [GRC]|ECUADOR
120|2|Club de Radio Aficionados de El Salvador [CRAS]|EL SALVADOR
121|2|Grenada Amateur Radio Club [GARC]|GRENADA
122|2|Club de Radioaficionados de Guatemala [CRAG]|GUATEMALA
123|2|Guyana Amateur Radio Association [GARA]|GUYANA
124|2|Radio Club d’Haiti [RCH]|HAITI
125|2|Radio Club de Honduras [RCH]|HONDURAS
126|2|Jamaica Amateur Radio Association [JARA]|JAMAICA
127|2|Federacion Mexicana de Radio Experimentadores [FMRE]|MEXICO
128|2|Montserrat Amateur Radio Society [MARS]|MONTSERRAT
129|2|Vereniging voor Experimenteel Radio Onderzoek, in de Nederlandse Antillen [VERONA]|NETHERLANDS ANTILLES
130|2|Club de Radio-Experimentadores de Nicaragua [CREN]|NICARAGUA
131|2|Liga Panamena de Radioaficionados [LPRA]|PANAMA
132|2|Radio Club Paraguayo [RCP]|PARAGUAY
133|2|Radio Club Peruano [RCP]|PERU
134|2|St. Kitts-Nevis-Anguilla Amateur Radio Society|ST. KITTS & NEVIS
135|2|St. Vincent & the Grenadines Amateur Radio Club|ST. VINCENT & THE GRENADINES
136|2|Vereniging van Radio Amateurs in Suriname [VRAS]|SURINAME
137|2|Trinidad and Tobago Amateur Radio Society [TTARS]|TRINIDAD & TOBAGO
138|2|Turks and Caicos Amateur Radio Society [TACARS]|TURKS & CAICOS ISLANDS
139|2|American Radio Relay League [ARRL]|U.S.A.
140|2|Radio Club Uruguayo [RCU]|URUGUAY
141|2|Radio Club Venezolano [RCV]|VENEZUELA
142|3|Wireless Institute of Australia [WIA]|AUSTRALIA
143|3|Bangladesh Amateur Radio League [BARL]|BANGLADESH
144|3|Brunei Darussalam Amateur Radio Association [BDARA]|BRUNEI DARUSSALAM
145|3|Chinese Radio Sports Association [CRSA]|CHINA
146|3|Chinese Taipei Amateur Radio League [CTARL]|CHINESE TAIPEI
147|3|Fiji Association of Radio Amateurs [FARA]|FIJI
148|3|Club Oceanien de Radio et d'Astronomie [CORA]|FRENCH POLYNESIA
149|3|Hong Kong Amateur Radio Transmitting Society [HARTS]|HONG KONG
150|3|Amateur Radio Society of India [ARSI]|INDIA
151|3|Organisasi Amatir Radio Indonesia [ORARI]|INDONESIA
152|3|Japan Amateur Radio League [JARL]|JAPAN
153|3|Korean Amateur Radio League [KARL]|REPUBLIC OF KOREA
154|3|Associacao dos Radioamadores de Macau [ARM]|MACAU
155|3|Malaysian Amateur Radio Transmitters' Society [MARTS]|MALAYSIA
156|3|Burma Amateur Radio Transmitting Society [BARTS]|MYANMAR (Membership temporarily suspended)
157|3|Association des Radio-Amateurs, de Nouvelle-Caledonie [ARANC]|NEW CALEDONIA
158|3|New Zealand Association of Radio Transmitters [NZART]|NEW ZEALAND
159|3|Pakistan Amateur Radio Society [PARS]|PAKISTAN
160|3|Philippine Amateur Radio Association [PARA]|PHILIPPINES
161|3|Pitcairn Island Amateur Radio Association [PIARA]|PITCAIRN ISLANDS
162|3|Samoa Amateur Radio Club [SARC]|SAMOA
163|3|Singapore Amateur Radio Transmitting Society [SARTS]|SINGAPORE
164|3|Solomon Islands Radio Society [SIRS]|SOLOMON ISLANDS
165|3|Radio Society of Sri Lanka [RSSL]|SRI LANKA
166|3|Radio Amateur Society of Thailand [RAST]|THAILAND
167|3|Amateur Radio Club of Tonga [ARCOT]|TONGA
168|3|American Radio Relay League [ARRL]|U.S.A.
169|3|Radio Society of Great Britain [RSGB]|UNITED KINGDOM
170|3|Vanuatu Amateur Radio Society [VARS]|VANUATU
171|3|Vietnam Amateur Radio Club [VARC]|VIETNAM
