id|jcc_id|number|city|is_deleted|deleted_date
837|43|4305|Minamata|0|
838|43|4306|Tamana|0|
839|43|4307|Hondo|1|2006-03-26
840|43|4308|Yamaga|0|
841|43|4309|Ushibuka|1|2006-23-26
842|43|4310|Kikuchi|0|
843|43|4311|Uto|0|
844|43|4312|Kamiamakusa|0|
845|43|4313|Uki|0|
846|43|4314|Aso|0|
847|43|4315|Amakusa|0|
848|43|4316|Koshi|0|
849|44|4401|Oita|0|
850|44|4402|Beppu|0|
851|44|4403|Nakatsu|0|
852|44|4404|Hita|0|
853|44|4405|Saiki|0|
854|44|4406|Usuki|0|
855|44|4407|Tsukumi|0|
856|44|4408|Taketa|0|
857|44|4409|Tsurusaki|1|1963-03-09
858|44|4410|Bungotakada|0|
859|44|4411|Kitsuki|0|
860|44|4412|Usa|0|
861|44|4413|Bungoono|0|
862|44|4414|Yufu|0|
863|44|4415|Kunisaki|0|
864|45|4501|Miyazaki|0|
865|45|4502|Miyakonojo|0|
866|45|4503|Nobeoka|0|
867|45|4504|Nichinan|0|
868|45|4505|Kobayashi|0|
869|45|4506|Hyuga|0|
870|45|4507|Kushima|0|
871|45|4508|Saito|0|
872|45|4509|Ebino|0|
873|46|4601|Kagoshima|0|
874|46|4602|Sendai|1|2004-10-11
875|46|4603|Kanoya|0|
876|46|4604|Makurazaki|0|
877|46|4605|Kushikino|1|2005-10-10
878|46|4606|Akune|0|
879|46|4607|Izumi|0|
880|46|4608|Naze|1|2006-03-19
881|46|4609|Okuchi|1|2008-10-18
882|46|4610|Ibusuki|0|
883|46|4611|Kaseda|1|2005-11-06
884|46|4612|Kokubu|1|2005-11-06
885|46|4613|Taniyama|1|1967-04-28
886|46|4614|Nishinoomote|0|
887|46|4615|Tarumizu|0|
888|46|4616|Satsumasendai|0|
889|46|4617|Hioki|0|
890|46|4618|Soo|0|
891|46|4619|Kirishima|0|
892|46|4620|Ichikikushikino|0|
893|46|4621|Minamisatsuma|0|
894|46|4622|Shibushi|0|
895|46|4623|Amami|0|
896|46|4624|Minamikyushu|0|
897|46|4625|Isa|0|
898|46|4626|Aira|0|
899|47|4701|Naha|0|
900|47|4702|Ishikawa|1|2005-03-31
901|47|4703|Hirara|1|2005-09-20
902|47|4704|Ishigaki|0|
903|47|4705|Koza|1|1974-03-31
904|47|4706|Ginowan|0|
905|47|4707|Gushikawa|1|2005-03-31
906|47|4708|Nago|0|
907|47|4709|Urasoe|0|
908|47|4710|Itoman|0|
909|47|4711|Okinawa|0|
910|47|4712|Tomigusuku|0|
911|47|4713|Uruma|0|
912|47|4714|Miyakojima|0|
913|47|4715|Nanjo|0|
