pas224_subdivision_id|pas224_region_id|code|subdivision
394|8|838|Ristijarvi
395|8|839|Ruukki
396|8|840|Sievi
397|8|841|Siikajoki
398|8|842|Sotkamo
399|8|843|Suomussalmi
400|8|844|Taivalkoski
401|8|846|Tyrnava
402|8|847|Utajarvi
403|8|848|Vaala
404|8|849|Vihanti
405|8|850|Vuolijoki
406|8|851|Yli-Ii
407|8|852|Ylikiiminki
408|8|853|Ylivieska
409|9|901|Enontekio
410|9|902|Inari
411|9|903|Kemi
412|9|904|Keminmaa
413|9|905|Kemijarvi
414|9|907|Kittila
415|9|908|Kolari
416|9|909|Muonio
417|9|910|Pelkosenniemi
418|9|911|Pello
419|9|912|Posio
420|9|913|Ranua
421|9|914|Rovaniemi
422|9|915|Rovaniemen mlk
423|9|916|Salla
424|9|917|Savukoski
425|9|918|Simo
426|9|919|Sodankyla
427|9|920|Tervola
428|9|921|Tornio
429|9|922|Utsjoki
430|9|923|Ylitornio
